name,calories,carbohydrate,total_fat,protein,cluster,day
"Beverages, Cran Lemonade, OCEAN SPRAY",45.0,11.12,0.0,0.07,0,Monday
"Pork, broiled, cooked, separable lean only, bone-in, center rib (chops), loin, fresh",186.0,0.0,8.4,25.79,0,Monday
"Cauliflower, without salt, drained, boiled, cooked, frozen",19.0,3.75,0.2,1.61,0,Monday
"Pears, red anjou, raw",62.0,14.94,0.1,0.33,0,Monday
"MARTHA WHITE FOODS, dry, Martha White's Buttermilk Biscuit Mix",388.0,59.41,13.0,7.81,1,Monday
"Apple juice, with added ascorbic acid, diluted with 3 volume water, unsweetened, frozen concentrate",47.0,11.54,0.1,0.14,0,Monday
"PIZZA HUT 12"" Pepperoni Pizza, Pan Crust",298.0,30.49,14.0,11.97,1,Monday
"Alcoholic beverages, rose, wine",83.0,3.8,0.0,0.36,0,Monday
"Beef, broiled, cooked, select, trimmed to 1/4"" fat, separable lean only, full cut, round",172.0,0.0,5.2,29.25,0,Monday
"Rhubarb, with sugar, cooked, frozen",116.0,31.2,0.1,0.39,0,Monday
"McDONALD'S, NEWMAN'S OWN Ranch Dressing",313.0,16.75,27.0,2.62,1,Monday
"Bread, toasted, oat bran",259.0,43.7,4.8,11.4,1,Monday
"USDA Commodity, cooked, frozen, turkey taco meat",148.0,3.03,7.6,16.8,0,Monday
"Bread, toasted, rye",284.0,53.1,3.6,9.4,1,Monday
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, arm pot roast, chuck",249.0,0.0,19.0,19.14,1,Monday
"Nuts, roasted, european, chestnuts",245.0,52.96,2.2,3.17,1,Monday
"Taquitos, oven-heated, beef and cheese, frozen",287.0,33.46,13.0,9.4,1,Monday
"Nuts, almonds",579.0,21.55,50.0,21.15,2,Monday
"Cranberry sauce, OCEAN SPRAY, canned, whole",158.0,40.4,0.1,0.75,0,Monday
"Cereals ready-to-eat, Raspberry, KELLOGG'S FROSTED MINI-WHEATS Touch of Fruit in the Middle",342.0,82.1,1.8,8.8,1,Monday
"Pork, unprepared, bacon, cured",417.0,1.28,40.0,12.62,1,Monday
"Cowpeas, with salt, drained, boiled, cooked, young pods with seeds",34.0,7.0,0.3,2.6,0,Monday
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, trotter off, leg, fresh, imported, Australian",215.0,0.0,9.6,32.08,1,Monday
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",127.0,0.0,3.7,23.26,0,Monday
"Rice and vermicelli mix, unprepared, chicken flavor",358.0,75.8,1.3,10.64,1,Monday
"Pork, raw, separable lean and fat, bone-in, blade (chops or roasts), loin, fresh",194.0,0.0,12.0,19.56,0,Monday
"BURGER KING, with cheese, DOUBLE WHOPPER",266.0,13.52,17.0,14.47,1,Monday
"Bread, made with nonfat dry milk, prepared from recipe, white",274.0,53.6,2.6,7.7,1,Monday
"Milk, with added vitamin A and vitamin D, fat free, chocolate",67.0,13.46,0.0,3.39,0,Monday
"Margarine, without salt, stick, composite, 80% fat, regular",717.0,0.7,81.0,0.16,2,Monday
"Potatoes, with salt, flesh, cooked in skin, microwaved",100.0,23.28,0.1,2.1,0,Monday
"Cake, prepared from recipe without frosting, chocolate",371.0,53.4,15.0,5.3,1,Monday
"Chicken, stewed, cooked, meat and skin, dark meat, broilers or fryers",233.0,0.0,15.0,23.5,1,Monday
"KASHI Mushroom & Asparagus Risotto, unprepared, frozen",116.0,17.0,3.7,4.3,0,Monday
